Date,ASIAN.BK,CFRESH.BK,SSF.BK,TC.BK,TU.BK
2021-09-01,11.925797462463379,2.5199999809265137,6.195576190948486,4.77742338180542,15.50919246673584
2021-09-02,12.13502311706543,2.5199999809265137,6.270221710205078,4.6549248695373535,15.974471092224121
2021-09-03,11.995538711547852,2.4800000190734863,6.158253192901611,4.73659086227417,15.819377899169922
2021-09-06,11.995538711547852,2.559999942779541,6.195576190948486,4.6957573890686035,15.664286613464355
2021-09-07,12.13502311706543,2.4200000762939453,6.270221710205078,4.6957573890686035,15.586739540100098
2021-09-08,12.832437515258789,2.4000000953674316,6.232899188995361,4.818255424499512,16.594837188720703
2021-09-09,12.832437515258789,2.4200000762939453,6.270221710205078,4.89992094039917,16.74993133544922
2021-09-10,12.7626953125,2.4200000762939453,6.270221710205078,4.89992094039917,16.82747459411621
2021-09-13,13.04166316986084,2.440000057220459,6.232899188995361,4.859088897705078,16.672380447387695
2021-09-14,12.832437515258789,2.5,6.270221710205078,4.859088897705078,16.74993133544922
2021-09-15,12.7626953125,2.4200000762939453,6.270221710205078,4.89992094039917,16.74993133544922
2021-09-16,12.971921920776367,2.440000057220459,6.270221710205078,4.859088897705078,16.672380447387695
2021-09-17,12.971921920776367,2.380000114440918,6.232899188995361,4.859088897705078,16.9050235748291
2021-09-20,12.48372745513916,2.319999933242798,6.232899188995361,4.77742338180542,16.82747459411621
2021-09-21,12.553473472595215,2.440000057220459,6.270221710205078,4.818255424499512,17.2152042388916
2021-09-22,12.7626953125,2.700000047683716,6.232899188995361,4.818255424499512,16.982566833496094
2021-09-23,12.553473472595215,2.9800000190734863,6.232899188995361,4.859088897705078,16.9050235748291
2021-09-27,11.995538711547852,2.880000114440918,6.158253192901611,4.98158597946167,16.362199783325195
2021-09-28,12.274504661560059,3.5,6.158253192901611,5.104084491729736,16.43974494934082
2021-09-29,12.344246864318848,3.5999999046325684,6.158253192901611,5.063251495361328,16.594837188720703
2021-09-30,12.065279960632324,3.880000114440918,6.158253192901611,5.022419452667236,16.82747459411621
2021-10-01,11.995538711547852,3.8399999141693115,6.1209306716918945,5.144917011260986,16.74993133544922
2021-10-04,11.995538711547852,3.9600000381469727,6.1209306716918945,5.144917011260986,16.82747459411621
2021-10-05,11.716572761535645,3.9800000190734863,6.158253192901611,5.104084491729736,16.9050235748291
2021-10-06,11.856056213378906,4.079999923706055,6.158253192901611,4.98158597946167,16.594837188720703
2021-10-07,11.856056213378906,4.659999847412109,6.158253192901611,4.98158597946167,16.74993133544922
2021-10-08,11.925797462463379,4.099999904632568,6.158253192901611,5.063251495361328,16.12956428527832
2021-10-11,11.786314010620117,4.119999885559082,6.1209306716918945,5.022419452667236,15.974471092224121
2021-10-12,11.367865562438965,4.28000020980835,6.195576190948486,4.98158597946167,16.207107543945312
2021-10-14,11.856056213378906,3.940000057220459,6.1209306716918945,4.98158597946167,15.896924018859863
2021-10-15,11.228384017944336,3.799999952316284,6.158253192901611,4.98158597946167,15.896924018859863
2021-10-18,11.019158363342285,4.0,6.158253192901611,5.022419452667236,15.896924018859863
2021-10-19,11.228384017944336,3.9600000381469727,6.158253192901611,4.98158597946167,16.12956428527832
2021-10-20,11.088899612426758,3.819999933242798,6.158253192901611,5.022419452667236,16.207107543945312
2021-10-21,11.158639907836914,3.859999895095825,6.158253192901611,4.98158597946167,16.12956428527832
2021-10-25,11.019158363342285,3.9000000953674316,6.195576190948486,4.98158597946167,16.12956428527832
2021-10-26,11.088899612426758,4.179999828338623,6.195576190948486,4.98158597946167,16.12956428527832
2021-10-27,11.158639907836914,4.0,6.195576190948486,4.98158597946167,16.052017211914062
2021-10-28,11.158639907836914,3.9000000953674316,6.195576190948486,4.89992094039917,16.362199783325195
2021-10-29,11.019158363342285,3.819999933242798,6.232899188995361,4.859088897705078,16.207107543945312
2021-11-01,11.088899612426758,3.880000114440918,6.232899188995361,4.6957573890686035,16.052017211914062
2021-11-02,10.87967586517334,3.8399999141693115,6.008963108062744,4.73659086227417,15.819377899169922
2021-11-03,10.87967586517334,3.5399999618530273,6.008963108062744,4.6957573890686035,15.741832733154297
2021-11-04,10.949416160583496,3.5999999046325684,6.046285629272461,4.6549248695373535,16.12956428527832
2021-11-05,10.949416160583496,3.5999999046325684,6.1209306716918945,4.6957573890686035,15.974471092224121
2021-11-08,10.809932708740234,3.700000047683716,6.1209306716918945,4.614092826843262,15.896924018859863
2021-11-09,11.298124313354492,3.9200000762939453,6.1209306716918945,4.6549248695373535,15.741832733154297
2021-11-10,11.5770902633667,3.940000057220459,6.1209306716918945,4.6549248695373535,15.586739540100098
2021-11-11,11.50734806060791,3.880000114440918,6.232899188995361,4.6957573890686035,15.664286613464355
2021-11-12,11.367865562438965,4.099999904632568,6.307544708251953,4.6549248695373535,15.741832733154297
2021-11-15,11.158639907836914,3.859999895095825,6.307544708251953,4.328263759613037,15.664286613464355
2021-11-16,11.088899612426758,3.700000047683716,6.344867706298828,4.409929275512695,15.741832733154297
2021-11-17,11.228384017944336,3.740000009536743,6.270221710205078,4.450761795043945,15.664286613464355
2021-11-18,11.228384017944336,3.7799999713897705,6.270221710205078,4.73659086227417,15.50919246673584
2021-11-19,11.298124313354492,3.7200000286102295,6.270221710205078,4.6957573890686035,15.50919246673584
2021-11-22,11.646831512451172,3.700000047683716,6.195576190948486,4.6549248695373535,15.586739540100098
2021-11-23,12.065279960632324,3.7799999713897705,6.232899188995361,4.6957573890686035,15.043916702270508
2021-11-24,11.856056213378906,3.9000000953674316,6.307544708251953,4.77742338180542,15.19901180267334
2021-11-25,12.20476245880127,3.940000057220459,6.270221710205078,4.77742338180542,15.19901180267334
2021-11-26,11.856056213378906,3.9000000953674316,6.232899188995361,4.6957573890686035,14.966373443603516
2021-11-29,11.5770902633667,3.799999952316284,6.270221710205078,4.6549248695373535,15.354100227355957
2021-11-30,11.367865562438965,3.619999885559082,6.232899188995361,4.5732598304748535,15.276556968688965
2021-12-01,11.367865562438965,3.740000009536743,6.195576190948486,4.614092826843262,15.276556968688965
2021-12-02,11.019158363342285,3.680000066757202,6.195576190948486,4.6549248695373535,15.354100227355957
2021-12-03,11.088899612426758,3.680000066757202,6.232899188995361,4.6957573890686035,15.586739540100098
2021-12-07,11.367865562438965,3.740000009536743,6.195576190948486,4.73659086227417,15.741832733154297
2021-12-08,11.367865562438965,3.7200000286102295,6.195576190948486,4.818255424499512,15.741832733154297
2021-12-09,11.925797462463379,3.940000057220459,6.158253192901611,4.73659086227417,15.586739540100098
2021-12-13,11.786314010620117,3.9200000762939453,6.195576190948486,4.818255424499512,15.586739540100098
2021-12-14,11.786314010620117,4.039999961853027,6.195576190948486,4.77742338180542,15.354100227355957
2021-12-15,11.646831512451172,4.159999847412109,6.232899188995361,4.77742338180542,15.19901180267334
2021-12-16,11.856056213378906,3.9200000762939453,6.270221710205078,4.77742338180542,15.354100227355957
2021-12-17,11.786314010620117,4.039999961853027,6.270221710205078,4.77742338180542,15.276556968688965
2021-12-20,11.646831512451172,4.019999980926514,6.270221710205078,4.6957573890686035,15.043916702270508
2021-12-21,11.856056213378906,3.9800000190734863,6.195576190948486,4.77742338180542,15.043916702270508
2021-12-22,12.413987159729004,3.9600000381469727,6.232899188995361,4.73659086227417,15.12146282196045
2021-12-23,12.553473472595215,3.9600000381469727,6.232899188995361,4.859088897705078,15.043916702270508
2021-12-24,12.553473472595215,3.940000057220459,6.307544708251953,4.940753936767578,15.12146282196045
2021-12-27,12.7626953125,3.940000057220459,6.382190227508545,5.104084491729736,14.966373443603516
2021-12-28,12.344246864318848,3.8399999141693115,6.270221710205078,4.98158597946167,14.966373443603516
2021-12-29,12.553473472595215,3.859999895095825,6.307544708251953,4.98158597946167,15.19901180267334
2021-12-30,12.48372745513916,3.940000057220459,6.4941582679748535,4.940753936767578,15.12146282196045
2022-01-04,12.623211860656738,4.019999980926514,6.4568352699279785,5.104084491729736,15.354100227355957
2022-01-05,12.48372745513916,4.0,6.4941582679748535,5.104084491729736,15.586739540100098
2022-01-06,12.413987159729004,4.019999980926514,6.643448829650879,5.144917011260986,15.896924018859863
2022-01-07,12.623211860656738,3.9800000190734863,6.718094825744629,5.2265825271606445,15.896924018859863
2022-01-10,13.04166316986084,3.940000057220459,6.643448829650879,5.553244590759277,16.052017211914062
2022-01-11,12.971921920776367,3.940000057220459,6.755417346954346,5.471578598022461,16.052017211914062
2022-01-12,13.18114185333252,3.940000057220459,6.643448829650879,5.471578598022461,16.052017211914062
